Campaign,Ad Group,Keyword,Impressions,Clicks
미분류,미분류,도봉구면허시험장,2427562,1296
미분류,미분류,도봉운전면허,2226224,1353
미분류,미분류,도봉운전면허시험,2193430,1315
미분류,미분류,도봉구운전면허,2029885,1149
미분류,미분류,노원면허시험장,1304653,810
미분류,미분류,노원구면허시험장,1304153,821
미분류,미분류,노원운전면허시험,1293119,710
미분류,미분류,노원운전면허,1231945,768
미분류,미분류,노원자동차운전면허,1187706,715
미분류,미분류,노원구운전면허,982101,576
미분류,미분류,강북구운전면허
미분류,미분류,강북구면허시험장,
미분류,미분류,강북구자동차운전면허
미분류,미분류,의정부운전면허시험장
미분류,미분류,의정부구운전면허
미분류,미분류,의정부구면허시험장
미분류,미분류,의정부구자동차운전
미분류,미분류,서울운전면허,86924,38
미분류,미분류,운전,18249,9
미분류,미분류,도봉면허시험장,12811,99
미분류,미분류,운전면허,12248,22
미분류,미분류,도봉운전면허시험장,5276,31
미분류,미분류,면허,4683,4
미분류,미분류,운전면허시험,2996,3
미분류,미분류,운전면허시험장,2405,2
미분류,미분류,안전교육,1413,2
미분류,미분류,교통안전교육,1372,11
미분류,미분류,운전면허증,1222,2
미분류,미분류,운전면허모의고사10문항,1141,1
미분류,미분류,면허시험장,1107,3
미분류,미분류,운전면허모의고사40문항,830,0
미분류,미분류,고수의운전면허,736,26
미분류,미분류,노원운전면허시험장,637,5
미분류,미분류,운전면허모의고사20문항,594,0
미분류,미분류,운전연습,429,3
미분류,미분류,1종보통,361,1
미분류,미분류,면허시험,336,0
미분류,미분류,운전면허모의고사,203,1
미분류,미분류,운전면허과정,200,4
미분류,미분류,1종자동,198,0
미분류,미분류,2종보통,191,0
미분류,미분류,연습면허,172,0
미분류,미분류,고3운전면허,148,0
미분류,미분류,1종보통운전면허,145,0
미분류,미분류,운전시험,123,0
미분류,미분류,겨울방학,110,0
미분류,미분류,노원자동차운전면허시험장,105,3
미분류,미분류,운전면허따는법,101,1
미분류,미분류,노원구운전면허시험장,95,4
미분류,미분류,운전면허책,94,0
미분류,미분류,2종운전면허,91,0
미분류,미분류,운전면허문제집,89,0
미분류,미분류,운전면허1종보통,85,0
미분류,미분류,자동차운전면허증,78,0
미분류,미분류,도봉구운전면허시험장,73,0
미분류,미분류,운전면허문제,72,0
미분류,미분류,운전연습장,69,6
미분류,미분류,운전면허취득과정,66,1
미분류,미분류,운전면허장,61,0
미분류,미분류,1종수동,58,0
미분류,미분류,자동차운전면허시험장,58,1
미분류,미분류,운전면허2종보통,53,0
미분류,미분류,운전면허시험문제,53,0
미분류,미분류,2종보통운전면허,52,0
미분류,미분류,자동차운전,48,0
미분류,미분류,고수의운전면허도봉,46,2
미분류,미분류,운전면허플러스,44,0
